Listening for transport dt_socket at address: 1044
0    [main] INFO  org.eclipse.jetty.util.log  – Logging initialized @1972ms
103  [main] INFO  org.eclipse.jetty.server.Server  – jetty-9.2.9.v20150224
117  [main] WARN  org.eclipse.jetty.server.handler.RequestLogHandler  – !RequestLog
120  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor [file:/home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/contexts/] at interval 0
353  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
362  [main] WARN  org.eclipse.jetty.security.SecurityHandler  – ServletContext@o.e.j.w.WebAppContext@9f116cc{/solr,file:/home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr-webapp/webapp/,STARTING}{/solr.war} has uncovered http methods for path: /
380  [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()WebAppClassLoader=1130894323@436813f3
387  [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
387  [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr
388  [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr/'
444  [main] INFO  org.apache.solr.core.SolrXmlConfig  – Loading container configuration from /home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr/solr.xml
485  [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr
497  [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1517640897
497  [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/andrew/Documents/data/infosense/dumpling/solr_trunk/solr/server/solr/]
